Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
27001,0.13,27.001,133.32839524462057,12858381339,2026-08-14 00:00:03.454882,14/08/26,0:0:3
19597,0.18,19.597,183.70158697759862,12858400936,2026-08-14 00:00:23.051882,14/08/26,0:0:23
19366,0.19,19.366,185.8928018176185,12858420302,2026-08-14 00:00:42.417882,14/08/26,0:0:42
19298,0.19,19.298,186.54782879054824,12858439600,2026-08-14 00:01:01.715882,14/08/26,0:1:1
19445,0.19,19.445,185.1375674980715,12858459045,2026-08-14 00:01:21.160882,14/08/26,0:1:21
19635,0.18,19.635,183.34606569900689,12858478680,2026-08-14 00:01:40.795882,14/08/26,0:1:40
19804,0.18,19.804,181.7814582912543,12858498484,2026-08-14 00:02:00.599882,14/08/26,0:2:0
19825,0.18,19.825,181.58890290037832,12858518309,2026-08-14 00:02:20.424882,14/08/26,0:2:20
19970,0.18,19.97,180.27040560841263,12858538279,2026-08-14 00:02:40.394882,14/08/26,0:2:40
20063,0.18,20.063,179.43478044160892,12858558342,2026-08-14 00:03:00.457882,14/08/26,0:3:0
20113,0.18,20.113,178.98871376721524,12858578455,2026-08-14 00:03:20.570882,14/08/26,0:3:20
20162,0.18,20.162,178.5537149092352,12858598617,2026-08-14 00:03:40.732882,14/08/26,0:3:40
20324,0.18,20.324,177.1304861247786,12858618941,2026-08-14 00:04:01.056882,14/08/26,0:4:1
20563,0.17,20.563,175.0717307785829,12858639504,2026-08-14 00:04:21.619882,14/08/26,0:4:21
20539,0.17,20.539,175.27630361750815,12858660043,2026-08-14 00:04:42.158882,14/08/26,0:4:42
19940,0.18,19.94,180.54162487462386,12858679983,2026-08-14 00:05:02.098882,14/08/26,0:5:2
19730,0.18,19.73,182.4632539280284,12858699713,2026-08-14 00:05:21.828882,14/08/26,0:5:21
20377,0.18,20.377,176.6697747460372,12858720090,2026-08-14 00:05:42.205882,14/08/26,0:5:42
20657,0.17,20.657,174.27506414290556,12858740747,2026-08-14 00:06:02.862882,14/08/26,0:6:2
21117,0.17,21.117,170.4787611876687,12858761864,2026-08-14 00:06:23.979882,14/08/26,0:6:23
21039,0.17,21.039,171.11079423926992,12858782903,2026-08-14 00:06:45.018882,14/08/26,0:6:45
21098,0.17,21.098,170.63228742060858,12858804001,2026-08-14 00:07:06.116882,14/08/26,0:7:6
21235,0.17,21.235,169.53143395337887,12858825236,2026-08-14 00:07:27.351882,14/08/26,0:7:27
21219,0.17,21.219,169.6592676374947,12858846455,2026-08-14 00:07:48.570882,14/08/26,0:7:48
28950,0.12,28.95,124.35233160621762,12858875405,2026-08-14 00:08:17.520882,14/08/26,0:8:17
36295,0.1,36.295,99.18721586995454,12858911700,2026-08-14 00:08:53.815882,14/08/26,0:8:53
35090,0.1,35.09,102.59333143345683,12858946790,2026-08-14 00:09:28.905882,14/08/26,0:9:28
35140,0.1,35.14,102.44735344336938,12858981930,2026-08-14 00:10:04.045882,14/08/26,0:10:4
35124,0.1,35.124,102.49402118209771,12859017054,2026-08-14 00:10:39.169882,14/08/26,0:10:39
34907,0.1,34.907,103.13117712779672,12859051961,2026-08-14 00:11:14.076882,14/08/26,0:11:14
35224,0.1,35.224,102.20304337951397,12859087185,2026-08-14 00:11:49.300882,14/08/26,0:11:49
35205,0.1,35.205,102.25820195994888,12859122390,2026-08-14 00:12:24.505882,14/08/26,0:12:24
35148,0.1,35.148,102.42403550699898,12859157538,2026-08-14 00:12:59.653882,14/08/26,0:12:59
35209,0.1,35.209,102.2465846800534,12859192747,2026-08-14 00:13:34.862882,14/08/26,0:13:34
35268,0.1,35.268,102.07553589656345,12859228015,2026-08-14 00:14:10.130882,14/08/26,0:14:10
35382,0.1,35.382,101.74665083940987,12859263397,2026-08-14 00:14:45.512882,14/08/26,0:14:45
35289,0.1,35.289,102.014792144861,12859298686,2026-08-14 00:15:20.801882,14/08/26,0:15:20
35999,0.1,35.999,100.00277785494042,12859334685,2026-08-14 00:15:56.800882,14/08/26,0:15:56
36160,0.1,36.16,99.5575221238938,12859370845,2026-08-14 00:16:32.960882,14/08/26,0:16:32
35977,0.1,35.977,100.0639297328849,12859406822,2026-08-14 00:17:08.937882,14/08/26,0:17:8
36139,0.1,36.139,99.61537397271645,12859442961,2026-08-14 00:17:45.076882,14/08/26,0:17:45
35982,0.1,35.982,100.05002501250625,12859478943,2026-08-14 00:18:21.058882,14/08/26,0:18:21
35089,0.1,35.089,102.59625523668386,12859514032,2026-08-14 00:18:56.147882,14/08/26,0:18:56
35919,0.1,35.919,100.22550739163117,12859549951,2026-08-14 00:19:32.066882,14/08/26,0:19:32
36200,0.1,36.2,99.4475138121547,12859586151,2026-08-14 00:20:08.266882,14/08/26,0:20:8
36224,0.1,36.224,99.38162544169612,12859622375,2026-08-14 00:20:44.490882,14/08/26,0:20:44
36265,0.1,36.265,99.26926788914932,12859658640,2026-08-14 00:21:20.755882,14/08/26,0:21:20
36321,0.1,36.321,99.11621376063434,12859694961,2026-08-14 00:21:57.076882,14/08/26,0:21:57
36285,0.1,36.285,99.21455146754857,12859731246,2026-08-14 00:22:33.361882,14/08/26,0:22:33
34964,0.1,34.964,102.96304770621211,12859766210,2026-08-14 00:23:08.325882,14/08/26,0:23:8
35234,0.1,35.234,102.174036442073,12859801444,2026-08-14 00:23:43.559882,14/08/26,0:23:43
35466,0.1,35.466,101.50566739976315,12859836910,2026-08-14 00:24:19.025882,14/08/26,0:24:19
35416,0.1,35.416,101.6489722159476,12859872326,2026-08-14 00:24:54.441882,14/08/26,0:24:54
35559,0.1,35.559,101.24019235636548,12859907885,2026-08-14 00:25:30.000882,14/08/26,0:25:30
35451,0.1,35.451,101.54861640010155,12859943336,2026-08-14 00:26:05.451882,14/08/26,0:26:5
36039,0.1,36.039,99.89178390077416,12859979375,2026-08-14 00:26:41.490882,14/08/26,0:26:41
36112,0.1,36.112,99.68985378821445,12860015487,2026-08-14 00:27:17.602882,14/08/26,0:27:17
36031,0.1,36.031,99.91396297632595,12860051518,2026-08-14 00:27:53.633882,14/08/26,0:27:53
36158,0.1,36.158,99.56302892859118,12860087676,2026-08-14 00:28:29.791882,14/08/26,0:28:29
35983,0.1,35.983,100.04724453214018,12860123659,2026-08-14 00:29:05.774882,14/08/26,0:29:5
36047,0.1,36.047,99.86961466973673,12860159706,2026-08-14 00:29:41.821882,14/08/26,0:29:41
36017,0.1,36.017,99.9528000666352,12860195723,2026-08-14 00:30:17.838882,14/08/26,0:30:17
36281,0.1,36.281,99.22548992585651,12860232004,2026-08-14 00:30:54.119882,14/08/26,0:30:54
36172,0.1,36.172,99.52449408382174,12860268176,2026-08-14 00:31:30.291882,14/08/26,0:31:30
36234,0.1,36.234,99.35419771485346,12860304410,2026-08-14 00:32:06.525882,14/08/26,0:32:6
36221,0.1,36.221,99.38985671295657,12860340631,2026-08-14 00:32:42.746882,14/08/26,0:32:42
36386,0.1,36.386,98.93915242126093,12860377017,2026-08-14 00:33:19.132882,14/08/26,0:33:19
36103,0.1,36.103,99.71470514915659,12860413120,2026-08-14 00:33:55.235882,14/08/26,0:33:55
36308,0.1,36.308,99.15170210421945,12860449428,2026-08-14 00:34:31.543882,14/08/26,0:34:31
27252,0.13,27.252,132.1003963011889,12860476680,2026-08-14 00:34:58.795882,14/08/26,0:34:58
18190,0.2,18.19,197.91094007696537,12860494870,2026-08-14 00:35:16.985882,14/08/26,0:35:16
17630,0.2,17.63,204.1973908111174,12860512500,2026-08-14 00:35:34.615882,14/08/26,0:35:34
18052,0.2,18.052,199.42388654996677,12860530552,2026-08-14 00:35:52.667882,14/08/26,0:35:52
18099,0.2,18.099,198.90601690701143,12860548651,2026-08-14 00:36:10.766882,14/08/26,0:36:10
18527,0.19,18.527,194.31100555945378,12860567178,2026-08-14 00:36:29.293882,14/08/26,0:36:29
18470,0.19,18.47,194.9106659447753,12860585648,2026-08-14 00:36:47.763882,14/08/26,0:36:47
18667,0.19,18.667,192.85369904108856,12860604315,2026-08-14 00:37:06.430882,14/08/26,0:37:6
18819,0.19,18.819,191.29603060736488,12860623134,2026-08-14 00:37:25.249882,14/08/26,0:37:25
18912,0.19,18.912,190.35532994923858,12860642046,2026-08-14 00:37:44.161882,14/08/26,0:37:44
18828,0.19,18.828,191.20458891013385,12860660874,2026-08-14 00:38:02.989882,14/08/26,0:38:2
19308,0.19,19.308,186.45121193287756,12860680182,2026-08-14 00:38:22.297882,14/08/26,0:38:22
19470,0.18,19.47,184.89984591679507,12860699652,2026-08-14 00:38:41.767882,14/08/26,0:38:41
19508,0.18,19.508,184.53967603034653,12860719160,2026-08-14 00:39:01.275882,14/08/26,0:39:1
19595,0.18,19.595,183.72033682061752,12860738755,2026-08-14 00:39:20.870882,14/08/26,0:39:20
19618,0.18,19.618,183.5049444387807,12860758373,2026-08-14 00:39:40.488882,14/08/26,0:39:40
19574,0.18,19.574,183.91744150403596,12860777947,2026-08-14 00:40:00.062882,14/08/26,0:40:0
19419,0.19,19.419,185.38544724239148,12860797366,2026-08-14 00:40:19.481882,14/08/26,0:40:19
19239,0.19,19.239,187.1199126773741,12860816605,2026-08-14 00:40:38.720882,14/08/26,0:40:38
19260,0.19,19.26,186.9158878504673,12860835865,2026-08-14 00:40:57.980882,14/08/26,0:40:57
19304,0.19,19.304,186.48984666390385,12860855169,2026-08-14 00:41:17.284882,14/08/26,0:41:17
19390,0.19,19.39,185.66271273852502,12860874559,2026-08-14 00:41:36.674882,14/08/26,0:41:36
19469,0.18,19.469,184.90934305819508,12860894028,2026-08-14 00:41:56.143882,14/08/26,0:41:56
19495,0.18,19.495,184.6627340343678,12860913523,2026-08-14 00:42:15.638882,14/08/26,0:42:15
19683,0.18,19.683,182.8989483310471,12860933206,2026-08-14 00:42:35.321882,14/08/26,0:42:35
19910,0.18,19.91,180.8136614766449,12860953116,2026-08-14 00:42:55.231882,14/08/26,0:42:55
31920,0.11,31.92,112.78195488721805,12860985036,2026-08-14 00:43:27.151882,14/08/26,0:43:27
32700,0.11,32.7,110.09174311926606,12861017736,2026-08-14 00:43:59.851882,14/08/26,0:43:59
32719,0.11,32.719,110.02781258595923,12861050455,2026-08-14 00:44:32.570882,14/08/26,0:44:32
32590,0.11,32.59,110.4633323105247,12861083045,2026-08-14 00:45:05.160882,14/08/26,0:45:5
32583,0.11,32.583,110.48706380627935,12861115628,2026-08-14 00:45:37.743882,14/08/26,0:45:37
