Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
37313,0.1,37.313,96.4811191809825,13303837267,2026-06-29 00:00:19.749102,29/06/26,0:0:19
35064,0.1,35.064,102.6694045174538,13303872331,2026-06-29 00:00:54.813102,29/06/26,0:0:54
35902,0.1,35.902,100.27296529441257,13303908233,2026-06-29 00:01:30.715102,29/06/26,0:1:30
37229,0.1,37.229,96.69881006742055,13303945462,2026-06-29 00:02:07.944102,29/06/26,0:2:7
37078,0.1,37.078,97.09261556718269,13303982540,2026-06-29 00:02:45.022102,29/06/26,0:2:45
37176,0.1,37.176,96.83666881859264,13304019716,2026-06-29 00:03:22.198102,29/06/26,0:3:22
37141,0.1,37.141,96.92792331924288,13304056857,2026-06-29 00:03:59.339102,29/06/26,0:3:59
37481,0.1,37.481,96.04866465675943,13304094338,2026-06-29 00:04:36.820102,29/06/26,0:4:36
38243,0.09,38.243,94.13487435609132,13304132581,2026-06-29 00:05:15.063102,29/06/26,0:5:15
38266,0.09,38.266,94.07829404693462,13304170847,2026-06-29 00:05:53.329102,29/06/26,0:5:53
38230,0.09,38.23,94.16688464556631,13304209077,2026-06-29 00:06:31.559102,29/06/26,0:6:31
38284,0.09,38.284,94.03406122662209,13304247361,2026-06-29 00:07:09.843102,29/06/26,0:7:9
38307,0.09,38.307,93.97760200485551,13304285668,2026-06-29 00:07:48.150102,29/06/26,0:7:48
37649,0.09,37.649,95.62006959016176,13304323317,2026-06-29 00:08:25.799102,29/06/26,0:8:25
37877,0.09,37.877,95.0444860997439,13304361194,2026-06-29 00:09:03.676102,29/06/26,0:9:3
38137,0.09,38.137,94.39651781734274,13304399331,2026-06-29 00:09:41.813102,29/06/26,0:9:41
38392,0.09,38.392,93.7695353198583,13304437723,2026-06-29 00:10:20.205102,29/06/26,0:10:20
38336,0.09,38.336,93.90651085141903,13304476059,2026-06-29 00:10:58.541102,29/06/26,0:10:58
38445,0.09,38.445,93.64026531408506,13304514504,2026-06-29 00:11:36.986102,29/06/26,0:11:36
39211,0.09,39.211,91.81097141108363,13304553715,2026-06-29 00:12:16.197102,29/06/26,0:12:16
39290,0.09,39.29,91.62636803257827,13304593005,2026-06-29 00:12:55.487102,29/06/26,0:12:55
39192,0.09,39.192,91.85548071034906,13304632197,2026-06-29 00:13:34.679102,29/06/26,0:13:34
39212,0.09,39.212,91.80863001122106,13304671409,2026-06-29 00:14:13.891102,29/06/26,0:14:13
39272,0.09,39.272,91.6683642289672,13304710681,2026-06-29 00:14:53.163102,29/06/26,0:14:53
39211,0.09,39.211,91.81097141108363,13304749892,2026-06-29 00:15:32.374102,29/06/26,0:15:32
39162,0.09,39.162,91.92584648383637,13304789054,2026-06-29 00:16:11.536102,29/06/26,0:16:11
39261,0.09,39.261,91.6940475280813,13304828315,2026-06-29 00:16:50.797102,29/06/26,0:16:50
39230,0.09,39.23,91.76650522559265,13304867545,2026-06-29 00:17:30.027102,29/06/26,0:17:30
39107,0.09,39.107,92.05513079499833,13304906652,2026-06-29 00:18:09.134102,29/06/26,0:18:9
18078,0.2,18.078,199.13707268503154,13304924730,2026-06-29 00:18:27.212102,29/06/26,0:18:27
20375,0.18,20.375,176.68711656441718,13304945105,2026-06-29 00:18:47.587102,29/06/26,0:18:47
20271,0.18,20.271,177.5936066301613,13304965376,2026-06-29 00:19:07.858102,29/06/26,0:19:7
20330,0.18,20.33,177.07820954254797,13304985706,2026-06-29 00:19:28.188102,29/06/26,0:19:28
20584,0.17,20.584,174.89312087057908,13305006290,2026-06-29 00:19:48.772102,29/06/26,0:19:48
20777,0.17,20.777,173.26851807286903,13305027067,2026-06-29 00:20:09.549102,29/06/26,0:20:9
20912,0.17,20.912,172.14996174445295,13305047979,2026-06-29 00:20:30.461102,29/06/26,0:20:30
21006,0.17,21.006,171.3796058269066,13305068985,2026-06-29 00:20:51.467102,29/06/26,0:20:51
21234,0.17,21.234,169.53941791466517,13305090219,2026-06-29 00:21:12.701102,29/06/26,0:21:12
21168,0.17,21.168,170.06802721088437,13305111387,2026-06-29 00:21:33.869102,29/06/26,0:21:33
21280,0.17,21.28,169.17293233082708,13305132667,2026-06-29 00:21:55.149102,29/06/26,0:21:55
21404,0.17,21.404,168.19286114744907,13305154071,2026-06-29 00:22:16.553102,29/06/26,0:22:16
21473,0.17,21.473,167.65240068923765,13305175544,2026-06-29 00:22:38.026102,29/06/26,0:22:38
21395,0.17,21.395,168.26361299369012,13305196939,2026-06-29 00:22:59.421102,29/06/26,0:22:59
21324,0.17,21.324,168.82386043894203,13305218263,2026-06-29 00:23:20.745102,29/06/26,0:23:20
21512,0.17,21.512,167.34845667534398,13305239775,2026-06-29 00:23:42.257102,29/06/26,0:23:42
21547,0.17,21.547,167.07662319580453,13305261322,2026-06-29 00:24:03.804102,29/06/26,0:24:3
21551,0.17,21.551,167.0456127325878,13305282873,2026-06-29 00:24:25.355102,29/06/26,0:24:25
21649,0.17,21.649,166.2894360016629,13305304522,2026-06-29 00:24:47.004102,29/06/26,0:24:47
21640,0.17,21.64,166.35859519408504,13305326162,2026-06-29 00:25:08.644102,29/06/26,0:25:8
21653,0.17,21.653,166.2587170369002,13305347815,2026-06-29 00:25:30.297102,29/06/26,0:25:30
21770,0.17,21.77,165.36518144235185,13305369585,2026-06-29 00:25:52.067102,29/06/26,0:25:52
24867,0.14,24.867,144.77017734346725,13305394452,2026-06-29 00:26:16.934102,29/06/26,0:26:16
38369,0.09,38.369,93.8257447418489,13305432821,2026-06-29 00:26:55.303102,29/06/26,0:26:55
38269,0.09,38.269,94.07091902061721,13305471090,2026-06-29 00:27:33.572102,29/06/26,0:27:33
38332,0.09,38.332,93.91631013252635,13305509422,2026-06-29 00:28:11.904102,29/06/26,0:28:11
38391,0.09,38.391,93.77197780729858,13305547813,2026-06-29 00:28:50.295102,29/06/26,0:28:50
38209,0.09,38.209,94.21863958753174,13305586022,2026-06-29 00:29:28.504102,29/06/26,0:29:28
38292,0.09,38.292,94.01441554371671,13305624314,2026-06-29 00:30:06.796102,29/06/26,0:30:6
38435,0.09,38.435,93.66462859372967,13305662749,2026-06-29 00:30:45.231102,29/06/26,0:30:45
39042,0.09,39.042,92.20839096357768,13305701791,2026-06-29 00:31:24.273102,29/06/26,0:31:24
39076,0.09,39.076,92.12816050772852,13305740867,2026-06-29 00:32:03.349102,29/06/26,0:32:3
39131,0.09,39.131,91.9986711303059,13305779998,2026-06-29 00:32:42.480102,29/06/26,0:32:42
39127,0.09,39.127,92.00807626447211,13305819125,2026-06-29 00:33:21.607102,29/06/26,0:33:21
39125,0.09,39.125,92.01277955271566,13305858250,2026-06-29 00:34:00.732102,29/06/26,0:34:0
39162,0.09,39.162,91.92584648383637,13305897412,2026-06-29 00:34:39.894102,29/06/26,0:34:39
39034,0.09,39.034,92.22728903007635,13305936446,2026-06-29 00:35:18.928102,29/06/26,0:35:18
39212,0.09,39.212,91.80863001122106,13305975658,2026-06-29 00:35:58.140102,29/06/26,0:35:58
38162,0.09,38.162,94.33467847597086,13306013820,2026-06-29 00:36:36.302102,29/06/26,0:36:36
37911,0.09,37.911,94.95924665664319,13306051731,2026-06-29 00:37:14.213102,29/06/26,0:37:14
37825,0.09,37.825,95.17514871116987,13306089556,2026-06-29 00:37:52.038102,29/06/26,0:37:52
37944,0.09,37.944,94.87666034155598,13306127500,2026-06-29 00:38:29.982102,29/06/26,0:38:29
38016,0.09,38.016,94.6969696969697,13306165516,2026-06-29 00:39:07.998102,29/06/26,0:39:7
37625,0.09,37.625,95.68106312292359,13306203141,2026-06-29 00:39:45.623102,29/06/26,0:39:45
37866,0.09,37.866,95.0720963397243,13306241007,2026-06-29 00:40:23.489102,29/06/26,0:40:23
37784,0.09,37.784,95.27842473004446,13306278791,2026-06-29 00:41:01.273102,29/06/26,0:41:1
37829,0.09,37.829,95.16508498770784,13306316620,2026-06-29 00:41:39.102102,29/06/26,0:41:39
37910,0.09,37.91,94.9617515167502,13306354530,2026-06-29 00:42:17.012102,29/06/26,0:42:17
37834,0.09,37.834,95.15250832584448,13306392364,2026-06-29 00:42:54.846102,29/06/26,0:42:54
37783,0.09,37.783,95.28094645740148,13306430147,2026-06-29 00:43:32.629102,29/06/26,0:43:32
37757,0.09,37.757,95.34655825409858,13306467904,2026-06-29 00:44:10.386102,29/06/26,0:44:10
37851,0.09,37.851,95.10977252912737,13306505755,2026-06-29 00:44:48.237102,29/06/26,0:44:48
37800,0.09,37.8,95.23809523809524,13306543555,2026-06-29 00:45:26.037102,29/06/26,0:45:26
37760,0.09,37.76,95.33898305084746,13306581315,2026-06-29 00:46:03.797102,29/06/26,0:46:3
