Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
26314,0.14,26.314,136.8093030326062,6708165558,2026-06-26 00:00:07.991539,26/06/26,0:0:7
26107,0.14,26.107,137.89405140383806,6708191665,2026-06-26 00:00:34.098539,26/06/26,0:0:34
26158,0.14,26.158,137.6252007034177,6708217823,2026-06-26 00:01:00.256539,26/06/26,0:1:0
15796,0.23,15.796,227.9057989364396,6708233619,2026-06-26 00:01:16.052539,26/06/26,0:1:16
15906,0.23,15.906,226.32968691059978,6708249525,2026-06-26 00:01:31.958539,26/06/26,0:1:31
15759,0.23,15.759,228.44089091947458,6708265284,2026-06-26 00:01:47.717539,26/06/26,0:1:47
15831,0.23,15.831,227.4019329164298,6708281115,2026-06-26 00:02:03.548539,26/06/26,0:2:3
15798,0.23,15.798,227.87694644891758,6708296913,2026-06-26 00:02:19.346539,26/06/26,0:2:19
15952,0.22,15.952,225.67703109327985,6708312865,2026-06-26 00:02:35.298539,26/06/26,0:2:35
15962,0.22,15.962,225.53564716200978,6708328827,2026-06-26 00:02:51.260539,26/06/26,0:2:51
16096,0.22,16.096,223.65805168986083,6708344923,2026-06-26 00:03:07.356539,26/06/26,0:3:7
15785,0.23,15.785,228.06461830852075,6708360708,2026-06-26 00:03:23.141539,26/06/26,0:3:23
16031,0.22,16.031,224.56490549560226,6708376739,2026-06-26 00:03:39.172539,26/06/26,0:3:39
16128,0.22,16.128,223.21428571428572,6708392867,2026-06-26 00:03:55.300539,26/06/26,0:3:55
15676,0.23,15.676,229.6504210257719,6708408543,2026-06-26 00:04:10.976539,26/06/26,0:4:10
15994,0.22,15.994,225.0844066524947,6708424537,2026-06-26 00:04:26.970539,26/06/26,0:4:26
15965,0.22,15.965,225.49326652051363,6708440502,2026-06-26 00:04:42.935539,26/06/26,0:4:42
16892,0.21,16.892,213.11863604072934,6708457394,2026-06-26 00:04:59.827539,26/06/26,0:4:59
16891,0.21,16.891,213.13125333017584,6708474285,2026-06-26 00:05:16.718539,26/06/26,0:5:16
16942,0.21,16.942,212.48967064101052,6708491227,2026-06-26 00:05:33.660539,26/06/26,0:5:33
