Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
37253,0.1,37.253,96.63651249563793,13441107586,2026-06-12 00:00:26.558058,12/06/26,0:0:26
37170,0.1,37.17,96.85230024213075,13441144756,2026-06-12 00:01:03.728058,12/06/26,0:1:3
37229,0.1,37.229,96.69881006742055,13441181985,2026-06-12 00:01:40.957058,12/06/26,0:1:40
37073,0.1,37.073,97.10571035524505,13441219058,2026-06-12 00:02:18.030058,12/06/26,0:2:18
37167,0.1,37.167,96.86011784647671,13441256225,2026-06-12 00:02:55.197058,12/06/26,0:2:55
36508,0.1,36.508,98.60852415908842,13441292733,2026-06-12 00:03:31.705058,12/06/26,0:3:31
33660,0.11,33.66,106.95187165775401,13441326393,2026-06-12 00:04:05.365058,12/06/26,0:4:5
35016,0.1,35.016,102.8101439342015,13441361409,2026-06-12 00:04:40.381058,12/06/26,0:4:40
35909,0.1,35.909,100.25341836308446,13441397318,2026-06-12 00:05:16.290058,12/06/26,0:5:16
36431,0.1,36.431,98.816941615657,13441433749,2026-06-12 00:05:52.721058,12/06/26,0:5:52
36377,0.1,36.377,98.96363086565687,13441470126,2026-06-12 00:06:29.098058,12/06/26,0:6:29
36263,0.1,36.263,99.2747428508397,13441506389,2026-06-12 00:07:05.361058,12/06/26,0:7:5
36516,0.1,36.516,98.5869208018403,13441542905,2026-06-12 00:07:41.877058,12/06/26,0:7:41
37076,0.1,37.076,97.09785305858237,13441579981,2026-06-12 00:08:18.953058,12/06/26,0:8:18
37169,0.1,37.169,96.85490597002878,13441617150,2026-06-12 00:08:56.122058,12/06/26,0:8:56
37909,0.09,37.909,94.96425650900842,13441655059,2026-06-12 00:09:34.031058,12/06/26,0:9:34
38264,0.09,38.264,94.08321137361489,13441693323,2026-06-12 00:10:12.295058,12/06/26,0:10:12
38308,0.09,38.308,93.9751487939856,13441731631,2026-06-12 00:10:50.603058,12/06/26,0:10:50
37585,0.09,37.585,95.78289211121458,13441769216,2026-06-12 00:11:28.188058,12/06/26,0:11:28
38086,0.09,38.086,94.52292180853857,13441807302,2026-06-12 00:12:06.274058,12/06/26,0:12:6
38046,0.09,38.046,94.62229932187353,13441845348,2026-06-12 00:12:44.320058,12/06/26,0:12:44
38189,0.09,38.189,94.26798292702087,13441883537,2026-06-12 00:13:22.509058,12/06/26,0:13:22
38931,0.09,38.931,92.47129536872929,13441922468,2026-06-12 00:14:01.440058,12/06/26,0:14:1
39124,0.09,39.124,92.0151313771598,13441961592,2026-06-12 00:14:40.564058,12/06/26,0:14:40
39128,0.09,39.128,92.00572480065426,13442000720,2026-06-12 00:15:19.692058,12/06/26,0:15:19
39177,0.09,39.177,91.89065012634964,13442039897,2026-06-12 00:15:58.869058,12/06/26,0:15:58
39030,0.09,39.03,92.23674096848578,13442078927,2026-06-12 00:16:37.899058,12/06/26,0:16:37
39019,0.09,39.019,92.2627437914862,13442117946,2026-06-12 00:17:16.918058,12/06/26,0:17:16
39566,0.09,39.566,90.98721124197543,13442157512,2026-06-12 00:17:56.484058,12/06/26,0:17:56
39010,0.09,39.01,92.28402973596513,13442196522,2026-06-12 00:18:35.494058,12/06/26,0:18:35
38814,0.09,38.814,92.75003864584943,13442235336,2026-06-12 00:19:14.308058,12/06/26,0:19:14
39064,0.09,39.064,92.15646119189023,13442274400,2026-06-12 00:19:53.372058,12/06/26,0:19:53
39109,0.09,39.109,92.05042317625099,13442313509,2026-06-12 00:20:32.481058,12/06/26,0:20:32
20489,0.17,20.489,175.70403631216752,13442333998,2026-06-12 00:20:52.970058,12/06/26,0:20:52
21088,0.17,21.088,170.7132018209408,13442355086,2026-06-12 00:21:14.058058,12/06/26,0:21:14
21102,0.17,21.102,170.5999431333523,13442376188,2026-06-12 00:21:35.160058,12/06/26,0:21:35
