temp,hours,dates,variation,heures,jours
18.129999999999995,20017.0,21/10/24 00:00:00,0.0,00,21/10/24
18.33000000000004,20017.041666666668,21/10/24 01:00:00,0.20000000000004547,01,21/10/24
18.33000000000004,20017.083333333332,21/10/24 02:00:00,0.0,02,21/10/24
17.760000000000048,20017.125,21/10/24 03:00:00,-0.5699999999999932,03,21/10/24
17.75,20017.166666666668,21/10/24 04:00:00,-0.010000000000047748,04,21/10/24
17.460000000000036,20017.208333333332,21/10/24 05:00:00,-0.2899999999999636,05,21/10/24
17.03000000000003,20017.25,21/10/24 06:00:00,-0.4300000000000068,06,21/10/24
16.730000000000018,20017.291666666668,21/10/24 07:00:00,-0.30000000000001137,07,21/10/24
16.74000000000001,20017.333333333332,21/10/24 08:00:00,0.009999999999990905,08,21/10/24
16.680000000000007,20017.375,21/10/24 09:00:00,-0.060000000000002274,09,21/10/24
16.670000000000016,20017.416666666668,21/10/24 10:00:00,-0.009999999999990905,10,21/10/24
16.870000000000005,20017.458333333332,21/10/24 11:00:00,0.19999999999998863,11,21/10/24
17.55000000000001,20017.5,21/10/24 12:00:00,0.6800000000000068,12,21/10/24
18.890000000000043,20017.541666666668,21/10/24 13:00:00,1.3400000000000318,13,21/10/24
18.29000000000002,20017.583333333332,21/10/24 14:00:00,-0.6000000000000227,14,21/10/24
19.06,20017.625,21/10/24 15:00:00,0.7699999999999783,15,21/10/24
19.860000000000014,20017.666666666668,21/10/24 16:00:00,0.8000000000000149,16,21/10/24
19.450000000000045,20017.708333333332,21/10/24 17:00:00,-0.40999999999996817,17,21/10/24
20.07000000000005,20017.75,21/10/24 18:00:00,0.6200000000000045,18,21/10/24
18.40000000000004,20017.791666666668,21/10/24 19:00:00,-1.6700000000000088,19,21/10/24
17.910000000000025,20017.833333333332,21/10/24 20:00:00,-0.4900000000000162,20,21/10/24
17.0,20017.875,21/10/24 21:00:00,-0.910000000000025,21,21/10/24
15.930000000000009,20017.916666666668,21/10/24 22:00:00,-1.0699999999999914,22,21/10/24
14.660000000000023,20017.958333333332,21/10/24 23:00:00,-1.2699999999999854,23,21/10/24
13.620000000000005,20018.0,22/10/24 00:00:00,-1.0400000000000187,00,22/10/24
13.28000000000003,20018.041666666668,22/10/24 01:00:00,-0.339999999999975,01,22/10/24
13.240000000000007,20018.083333333332,22/10/24 02:00:00,-0.04000000000002224,02,22/10/24
12.939999999999998,20018.125,22/10/24 03:00:00,-0.3000000000000096,03,22/10/24
12.700000000000044,20018.166666666668,22/10/24 04:00:00,-0.23999999999995403,04,22/10/24
12.610000000000014,20018.208333333332,22/10/24 05:00:00,-0.09000000000003006,05,22/10/24
12.620000000000005,20018.25,22/10/24 06:00:00,0.009999999999990905,06,22/10/24
12.140000000000043,20018.291666666668,22/10/24 07:00:00,-0.47999999999996135,07,22/10/24
11.510000000000048,20018.333333333332,22/10/24 08:00:00,-0.6299999999999955,08,22/10/24
10.850000000000025,20018.375,22/10/24 09:00:00,-0.6600000000000232,09,22/10/24
