Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
30803,0.12,30.803,116.87173327273318,10077775190,2026-08-04 00:00:17.623539,04/08/26,0:0:17
30767,0.12,30.767,117.00848311502584,10077805957,2026-08-04 00:00:48.390539,04/08/26,0:0:48
30693,0.12,30.693,117.29058743035871,10077836650,2026-08-04 00:01:19.083539,04/08/26,0:1:19
30759,0.12,30.759,117.0389154393836,10077867409,2026-08-04 00:01:49.842539,04/08/26,0:1:49
30656,0.12,30.656,117.4321503131524,10077898065,2026-08-04 00:02:20.498539,04/08/26,0:2:20
30854,0.12,30.854,116.67855059311597,10077928919,2026-08-04 00:02:51.352539,04/08/26,0:2:51
31087,0.12,31.087,115.8040338405121,10077960006,2026-08-04 00:03:22.439539,04/08/26,0:3:22
32413,0.11,32.413,111.06654737296763,10077992419,2026-08-04 00:03:54.852539,04/08/26,0:3:54
34333,0.1,34.333,104.85538694550432,10078026752,2026-08-04 00:04:29.185539,04/08/26,0:4:29
26960,0.13,26.96,133.53115727002967,10078053712,2026-08-04 00:04:56.145539,04/08/26,0:4:56
27083,0.13,27.083,132.92471291954362,10078080795,2026-08-04 00:05:23.228539,04/08/26,0:5:23
27308,0.13,27.308,131.82950051267028,10078108103,2026-08-04 00:05:50.536539,04/08/26,0:5:50
27360,0.13,27.36,131.57894736842104,10078135463,2026-08-04 00:06:17.896539,04/08/26,0:6:17
27806,0.13,27.806,129.46846004459468,10078163269,2026-08-04 00:06:45.702539,04/08/26,0:6:45
27337,0.13,27.337,131.6896513882284,10078190606,2026-08-04 00:07:13.039539,04/08/26,0:7:13
27749,0.13,27.749,129.7344048434178,10078218355,2026-08-04 00:07:40.788539,04/08/26,0:7:40
27692,0.13,27.692,130.001444460494,10078246047,2026-08-04 00:08:08.480539,04/08/26,0:8:8
27677,0.13,27.677,130.07190085630668,10078273724,2026-08-04 00:08:36.157539,04/08/26,0:8:36
27671,0.13,27.671,130.1001048028622,10078301395,2026-08-04 00:09:03.828539,04/08/26,0:9:3
27783,0.13,27.783,129.5756397797214,10078329178,2026-08-04 00:09:31.611539,04/08/26,0:9:31
28350,0.13,28.35,126.98412698412699,10078357528,2026-08-04 00:09:59.961539,04/08/26,0:9:59
28421,0.13,28.421,126.66690123500229,10078385949,2026-08-04 00:10:28.382539,04/08/26,0:10:28
26991,0.13,26.991,133.3777925975325,10078412940,2026-08-04 00:10:55.373539,04/08/26,0:10:55
27775,0.13,27.775,129.6129612961296,10078440715,2026-08-04 00:11:23.148539,04/08/26,0:11:23
27831,0.13,27.831,129.3521612590277,10078468546,2026-08-04 00:11:50.979539,04/08/26,0:11:50
27824,0.13,27.824,129.38470385278896,10078496370,2026-08-04 00:12:18.803539,04/08/26,0:12:18
27767,0.13,27.767,129.6503043180754,10078524137,2026-08-04 00:12:46.570539,04/08/26,0:12:46
27779,0.13,27.779,129.59429785089455,10078551916,2026-08-04 00:13:14.349539,04/08/26,0:13:14
27905,0.13,27.905,129.00913814728543,10078579821,2026-08-04 00:13:42.254539,04/08/26,0:13:42
27928,0.13,27.928,128.90289315382412,10078607749,2026-08-04 00:14:10.182539,04/08/26,0:14:10
27643,0.13,27.643,130.2318851065369,10078635392,2026-08-04 00:14:37.825539,04/08/26,0:14:37
27006,0.13,27.006,133.30371028660298,10078662398,2026-08-04 00:15:04.831539,04/08/26,0:15:4
27322,0.13,27.322,131.76195007686113,10078689720,2026-08-04 00:15:32.153539,04/08/26,0:15:32
28017,0.13,28.017,128.493414712496,10078717737,2026-08-04 00:16:00.170539,04/08/26,0:16:0
18387,0.19,18.387,195.7905041605482,10078736124,2026-08-04 00:16:18.557539,04/08/26,0:16:18
16605,0.22,16.605,216.80216802168022,10078752729,2026-08-04 00:16:35.162539,04/08/26,0:16:35
16512,0.22,16.512,218.02325581395348,10078769241,2026-08-04 00:16:51.674539,04/08/26,0:16:51
16440,0.22,16.44,218.97810218978103,10078785681,2026-08-04 00:17:08.114539,04/08/26,0:17:8
16472,0.22,16.472,218.5526954832443,10078802153,2026-08-04 00:17:24.586539,04/08/26,0:17:24
16589,0.22,16.589,217.01127252998975,10078818742,2026-08-04 00:17:41.175539,04/08/26,0:17:41
16787,0.21,16.787,214.45165902186216,10078835529,2026-08-04 00:17:57.962539,04/08/26,0:17:57
16813,0.21,16.813,214.12002617022543,10078852342,2026-08-04 00:18:14.775539,04/08/26,0:18:14
16943,0.21,16.943,212.47712919789885,10078869285,2026-08-04 00:18:31.718539,04/08/26,0:18:31
16919,0.21,16.919,212.7785330102252,10078886204,2026-08-04 00:18:48.637539,04/08/26,0:18:48
16960,0.21,16.96,212.26415094339623,10078903164,2026-08-04 00:19:05.597539,04/08/26,0:19:5
17108,0.21,17.108,210.4278700023381,10078920272,2026-08-04 00:19:22.705539,04/08/26,0:19:22
