Interval,kWh,sec,Wh,cumul(ms),dates,days,heure
27976,0.13,27.976,128.68172719473836,894554024,2025-12-21 00:00:17.589886,21/12/25,0:0:17
28015,0.13,28.015,128.50258789933963,894582039,2025-12-21 00:00:45.604886,21/12/25,0:0:45
28082,0.13,28.082,128.19599743608006,894610121,2025-12-21 00:01:13.686886,21/12/25,0:1:13
28090,0.13,28.09,128.15948736205056,894638211,2025-12-21 00:01:41.776886,21/12/25,0:1:41
27952,0.13,27.952,128.7922152261019,894666163,2025-12-21 00:02:09.728886,21/12/25,0:2:9
27667,0.13,27.667,130.11891422994904,894693830,2025-12-21 00:02:37.395886,21/12/25,0:2:37
27510,0.13,27.51,130.86150490730643,894721340,2025-12-21 00:03:04.905886,21/12/25,0:3:4
27586,0.13,27.586,130.50097875734068,894748926,2025-12-21 00:03:32.491886,21/12/25,0:3:32
27417,0.13,27.417,131.3053944632892,894776343,2025-12-21 00:03:59.908886,21/12/25,0:3:59
27220,0.13,27.22,132.2556943423953,894803563,2025-12-21 00:04:27.128886,21/12/25,0:4:27
27699,0.13,27.699,129.96859092386006,894831262,2025-12-21 00:04:54.827886,21/12/25,0:4:54
27937,0.13,27.937,128.86136664638292,894859199,2025-12-21 00:05:22.764886,21/12/25,0:5:22
27901,0.13,27.901,129.02763341815705,894887100,2025-12-21 00:05:50.665886,21/12/25,0:5:50
28022,0.13,28.022,128.47048747412748,894915122,2025-12-21 00:06:18.687886,21/12/25,0:6:18
27609,0.13,27.609,130.39226339237206,894942731,2025-12-21 00:06:46.296886,21/12/25,0:6:46
28073,0.13,28.073,128.2370961422007,894970804,2025-12-21 00:07:14.369886,21/12/25,0:7:14
28129,0.13,28.129,127.98179814426393,894998933,2025-12-21 00:07:42.498886,21/12/25,0:7:42
28217,0.13,28.217,127.58266293369246,895027150,2025-12-21 00:08:10.715886,21/12/25,0:8:10
27873,0.13,27.873,129.15724895059736,895055023,2025-12-21 00:08:38.588886,21/12/25,0:8:38
27965,0.13,27.965,128.73234400143036,895082988,2025-12-21 00:09:06.553886,21/12/25,0:9:6
28139,0.13,28.139,127.93631614485234,895111127,2025-12-21 00:09:34.692886,21/12/25,0:9:34
28024,0.13,28.024,128.4613188695404,895139151,2025-12-21 00:10:02.716886,21/12/25,0:10:2
27834,0.13,27.834,129.33821944384565,895166985,2025-12-21 00:10:30.550886,21/12/25,0:10:30
28133,0.13,28.133,127.96360146447233,895195118,2025-12-21 00:10:58.683886,21/12/25,0:10:58
28024,0.13,28.024,128.4613188695404,895223142,2025-12-21 00:11:26.707886,21/12/25,0:11:26
27677,0.13,27.677,130.07190085630668,895250819,2025-12-21 00:11:54.384886,21/12/25,0:11:54
27777,0.13,27.777,129.60362890160926,895278596,2025-12-21 00:12:22.161886,21/12/25,0:12:22
28523,0.13,28.523,126.21393261578375,895307119,2025-12-21 00:12:50.684886,21/12/25,0:12:50
27780,0.13,27.78,129.58963282937364,895334899,2025-12-21 00:13:18.464886,21/12/25,0:13:18
28276,0.13,28.276,127.31645211486773,895363175,2025-12-21 00:13:46.740886,21/12/25,0:13:46
28216,0.13,28.216,127.58718457612702,895391391,2025-12-21 00:14:14.956886,21/12/25,0:14:14
28327,0.13,28.327,127.08723126345889,895419718,2025-12-21 00:14:43.283886,21/12/25,0:14:43
28689,0.12,28.689,125.4836348426226,895448407,2025-12-21 00:15:11.972886,21/12/25,0:15:11
28661,0.12,28.661,125.60622448623565,895477068,2025-12-21 00:15:40.633886,21/12/25,0:15:40
28706,0.12,28.706,125.40932209294225,895505774,2025-12-21 00:16:09.339886,21/12/25,0:16:9
28732,0.12,28.732,125.29583739384658,895534506,2025-12-21 00:16:38.071886,21/12/25,0:16:38
28305,0.13,28.305,127.18600953895071,895562811,2025-12-21 00:17:06.376886,21/12/25,0:17:6
28338,0.13,28.338,127.03789964005928,895591149,2025-12-21 00:17:34.714886,21/12/25,0:17:34
28281,0.13,28.281,127.29394292988225,895619430,2025-12-21 00:18:02.995886,21/12/25,0:18:2
28234,0.13,28.234,127.50584401785082,895647664,2025-12-21 00:18:31.229886,21/12/25,0:18:31
28329,0.13,28.329,127.07825902785132,895675993,2025-12-21 00:18:59.558886,21/12/25,0:18:59
28269,0.13,28.269,127.34797835084368,895704262,2025-12-21 00:19:27.827886,21/12/25,0:19:27
28171,0.13,28.171,127.79099073515317,895732433,2025-12-21 00:19:55.998886,21/12/25,0:19:55
27580,0.13,27.58,130.5293691080493,895760013,2025-12-21 00:20:23.578886,21/12/25,0:20:23
27611,0.13,27.611,130.3828184419253,895787624,2025-12-21 00:20:51.189886,21/12/25,0:20:51
27657,0.13,27.657,130.16596160104132,895815281,2025-12-21 00:21:18.846886,21/12/25,0:21:18
27600,0.13,27.6,130.43478260869566,895842881,2025-12-21 00:21:46.446886,21/12/25,0:21:46
27752,0.13,27.752,129.72038051311617,895870633,2025-12-21 00:22:14.198886,21/12/25,0:22:14
28076,0.13,28.076,128.2233936458185,895898709,2025-12-21 00:22:42.274886,21/12/25,0:22:42
