Fichier,Chanteur,Chanson
Tony Massarelli - Le bonheur.mp4,Tony Massarelli,Le bonheur
Neil Sedaka - Next door to an angel.mp4,Neil Sedaka,Next door to an angel
Irish - Danny boy - Irish Jazz wvocal.mp4,Danny boy,Irish Jazz wvocal
Andy Williams - It's The Most Wonderful Time Of The Year.mp4,Andy Williams,It's The Most Wonderful Time Of The Year
Michel Sardou - Les deux écoles.mp4,Michel Sardou,Les deux écoles
Fiddler On The Roof - If I were a rich man.mp4,Fiddler On The Roof,If I were a rich man
Pauline Ester - Il fait chaud.mp4,Pauline Ester,Il fait chaud
Céline Dion - Ziggy.mp4,Céline Dion,Ziggy
OFKCAR002-10 - Carpenters - Please Mr Postman w~mpex.mkv,Carpenters,Please Mr Postman w~mpex
Herbert Léonard - Tu ne pourras plus jamais m'oublier.mp4,Herbert Léonard,Tu ne pourras plus jamais m'oublier
Showtunes - (Phantom of the Opera) Music of the night (wvocals).mp4,Showtunes,(Phantom of the Opera) Music of the night (wvocals)
Shake - Tu sais je t'aime (You know i love you).mp4,Shake,Tu sais je t'aime (You know i love you)
Renaud - Dans mon HLM.mp4,Renaud,Dans mon HLM
Al Martino - (Theme from The Godfather movie) Speak softly love wvocals.mp4,Al Martino,(Theme from The Godfather movie) Speak softly love wvocals
The Isley Brothers - Twist And Shout.mp4,The Isley Brothers,Twist And Shout
Bill Baxter - Embrasse- moi idiot.mp4,Bill Baxter,Embrasse- moi idiot
Jean-Pierre François - Il a neigé sur les lacs.mp4,Jean-Pierre François,Il a neigé sur les lacs
Madonna - La isla bonita.mp4,Madonna,La isla bonita
Richard Gotainer - Le sampa.mp4,Richard Gotainer,Le sampa
Tom Jones - Till.mp4,Tom Jones,Till
Alain Chamfort - Manuréva.mp4,Alain Chamfort,Manuréva
Jacques Dutronc - Le plus difficile.mp4,Jacques Dutronc,Le plus difficile
Charles Aznavour (also Roy Clark)- Yesterday When I Was Young.mp4,Charles Aznavour (also Roy Clark)- Yesterday When I Was Young.mp4,
Showtunes - Give my regards to Broadway wvocals.mp4,Showtunes,Give my regards to Broadway wvocals
Jean Sablon - Vous qui passez sans me voir.mp4,Jean Sablon,Vous qui passez sans me voir
Andrews Sisters - Don't sit under the apple tree wvocals.mp4,Andrews Sisters,Don't sit under the apple tree wvocals
"Hervé Vilard - La vie est belle, le monde est beau.mp4",Hervé Vilard,"La vie est belle, le monde est beau"
Fiddler On The Roof - Do You Love Me.mp4,Fiddler On The Roof,Do You Love Me
Barbara Mandrell - Woman to woman.mp4,Barbara Mandrell,Woman to woman
Céline Dion - D'amour ou d'amitié.mp4,Céline Dion,D'amour ou d'amitié
Robbie Dupree - Steal away.mp4,Robbie Dupree,Steal away
Philippe Lavil - Elle préfère l'amour en mer.mp4,Philippe Lavil,Elle préfère l'amour en mer
Karol - Le bateau blanc.mp4,Karol,Le bateau blanc
Showtunes - (Annie get your gun) There's no business like show business.mp4,Showtunes,(Annie get your gun) There's no business like show business
Yves Duteil - Mélancolie (avec Véronique Sanson).mp4,Yves Duteil,Mélancolie (avec Véronique Sanson)
Hélène Rolles - Ce train qui s'en va.mp4,Hélène Rolles,Ce train qui s'en va
Tony Bennett - Once upon a time.mp4,Tony Bennett,Once upon a time
CCR - Have You Ever Seen The Rain.mp4,CCR,Have You Ever Seen The Rain
Bobby Darin - Splish Splash.mp4,Bobby Darin,Splish Splash
Yannick Noah - Déstination ailleurs.mp4,Yannick Noah,Déstination ailleurs
Frank Sinatra - Strangers in the night.mp4,Frank Sinatra,Strangers in the night
Jewish - (Classic) Hava Nagila.mp4,Jewish,(Classic) Hava Nagila
Showtunes - La cage aux folles wvocal.mp4,Showtunes,La cage aux folles wvocal
The New Vaudeville Band - Winchester Cathedral.mp4,The New Vaudeville Band,Winchester Cathedral
Indila - Tourner dans le vide.mp4,Indila,Tourner dans le vide
Lara Fabian - Je t'aime.mp4,Lara Fabian,Je t'aime
"Sylvie Vartan - Danse la, chante la.mp4",Sylvie Vartan,"Danse la, chante la"
Gospel - It is well with my soul wmale vocals.mp4,Gospel,It is well with my soul wmale vocals
Ricoune - Dans un verre à ballon.mp4,Ricoune,Dans un verre à ballon
Johnny Hallyday - Mon plus beau Noël.mp4,Johnny Hallyday,Mon plus beau Noël
Andrea Bocelli - Caruso.mp4,Andrea Bocelli,Caruso
Billy Joel - Honesty.mp4,Billy Joel,Honesty
Dalida - Paroles paroles (avec Alain Delon).mp4,Dalida,Paroles paroles (avec Alain Delon)
Bananarama - Cruel Summer.mp4,Bananarama,Cruel Summer
Nini Ferrer - Oh hé hein bon.mp4,Nini Ferrer,Oh hé hein bon
Dr. Hook - When you're in love with a beautiful woman.mp4,Dr. Hook,When you're in love with a beautiful woman
Dean Martin - My kind of girl.mp4,Dean Martin,My kind of girl
Bénabar - Maritie et Gilbert Carpentier.mp4,Bénabar,Maritie et Gilbert Carpentier
Ringo - Cinderella.mp4,Ringo,Cinderella
Michel Sardou - La fille aux yeux clairs.mp4,Michel Sardou,La fille aux yeux clairs
Lââm - Petite Soeur.mp4,Lââm,Petite Soeur
Italian - Tarantella.mp4,Italian,Tarantella
Natasha St-Pier - J'avais quelq'un.mp4,Natasha St-Pier,J'avais quelq'un
Luis Mariano - Olé toréro.mp4,Luis Mariano,Olé toréro
Karaoké Je veux - Zaz _.mp4,Karaoké Je veux,Zaz _
Serge Lama - Ballade pour une colombe.mp4,Serge Lama,Ballade pour une colombe
Niagara - L'amour à la plage.mp4,Niagara,L'amour à la plage
Meatloaf -Two outta three aint bad.mp4,Meatloaf -Two outta three aint bad.mp4,
Coeur de Pirate - Mistral gagnant.mp4,Coeur de Pirate,Mistral gagnant
Céline Dion - Parler à mon père.mp4,Céline Dion,Parler à mon père
France Gall - Si maman si.mp4,France Gall,Si maman si
Jean-Jacques Goldman   - Je voudrai vous revoir.mp4,Jean-Jacques Goldman  ,Je voudrai vous revoir
Sylvie Vartan - Moi je ne suis plus rien.mp4,Sylvie Vartan,Moi je ne suis plus rien
Julie Pietri - Magdalena.mp4,Julie Pietri,Magdalena
Showtunes - (Oklahoma) - People will say we're in love.mp4,(Oklahoma),People will say we're in love
"Dorothée - Allo, allo monsieur l'ordinateur.mp4",Dorothée,"Allo, allo monsieur l'ordinateur"
Faudel - Mon pays.mp4,Faudel,Mon pays
John Michael Montgomery - I swear.mp4,John Michael Montgomery,I swear
Barbara Mandrell - Married But Not To Each Other.mp4,Barbara Mandrell,Married But Not To Each Other
Gospel - Jesus loves me.mp4,Gospel,Jesus loves me
Véronique Sanson - Et je l'appelle encore.mp4,Véronique Sanson,Et je l'appelle encore
Christophe - Succès fou.mp4,Christophe,Succès fou
Zaz - Sous le ciel de Paris.mp4,Zaz,Sous le ciel de Paris
Georges Brassens - Putain de toi.mp4,Georges Brassens,Putain de toi
Joe Cocker - (with Jennifer Warnes) Up where we belong (love lift us up).mp4,Joe Cocker,(with Jennifer Warnes) Up where we belong (love lift us up)
Reba McEntire - One promise.mp4,Reba McEntire,One promise
Irish - The Wild Rover.mp4,Irish,The Wild Rover
Khaled - C'est la vie.mp4,Khaled,C'est la vie
Pierre Bachelet - Coeur de goélan.mp4,Pierre Bachelet,Coeur de goélan
Véronique Sanson - Rien que de l'eau.mp4,Véronique Sanson,Rien que de l'eau
Hugues Aufray - Debout les gars.mp4,Hugues Aufray,Debout les gars
The Beach Boys - Wouldn't It Be Nice.mp4,The Beach Boys,Wouldn't It Be Nice
AVCD003-04 - Tom Jones - One Day Soon.mkv,Tom Jones,One Day Soon
Rika Zaraï - Casatchok.mp4,Rika Zaraï,Casatchok
Robert Charlebois - Les ailes d'un ange.mp4,Robert Charlebois,Les ailes d'un ange
Georges Brassens - Le gorille.mp4,Georges Brassens,Le gorille
Irish - I'll take you home again Kathleen wvocal.mp4,Irish,I'll take you home again Kathleen wvocal
Lynn Anderson  - Rose Garden.mp4,Lynn Anderson ,Rose Garden
Sacha Distel - Scoubidou (des pommes... des poires..).mp4,Sacha Distel,Scoubidou (des pommes
Eddy Mitchell - Je vais craquer bientôt.mp4,Eddy Mitchell,Je vais craquer bientôt
Carmen Maria Vega - La menteuse.mp4,Carmen Maria Vega,La menteuse
Lionel richie - My Love.mp4,Lionel richie,My Love
Grégory Lemarchal - Mon ange.mp4,Grégory Lemarchal,Mon ange
Tony Massarelli - Le temps des lilas.mp4,Tony Massarelli,Le temps des lilas
Ridsa - Pardon.mp4,Ridsa,Pardon
Yves Simon - Au pays des merveilles de Juliet.mp4,Yves Simon,Au pays des merveilles de Juliet
Francis Lalane - La maison du bonheur.mp4,Francis Lalane,La maison du bonheur
Barbara Mandrell - The angel in your arms this morning.mp4,Barbara Mandrell,The angel in your arms this morning
Diana Ross - Ain't no mountain high enough.mp4,Diana Ross,Ain't no mountain high enough
Grease - 08 Sandy.mp4,Grease,08 Sandy
Charlotte Church - Summertime.mp4,Charlotte Church,Summertime
Alain Bashung - Résident de la répuplique.mp4,Alain Bashung,Résident de la répuplique
Tal - Le droit de rêver.mp4,Tal,Le droit de rêver
Vianney - Oublie moi.mp4,Vianney,Oublie moi
Starmania - Les uns contre les autres (choeurs) [BDFab].avi,Starmania,Les uns contre les autres (choeurs) [BDFab]
Serge Lama - Je t'aime à la folie.mp4,Serge Lama,Je t'aime à la folie
Les Chaussettes Noires - Tu parles trop.mp4,Les Chaussettes Noires,Tu parles trop
The Irish Rovers - The Unicorn.mp4,The Irish Rovers,The Unicorn
Carly Simon - Nobody does it better.mp4,Carly Simon,Nobody does it better
Christophe Maé - On s'attache.mp4,Christophe Maé,On s'attache
Fleetwood Mac - Dont stop.mp4,Fleetwood Mac,Dont stop
Les Inconnus - C'est toi que je t'aime.mp4,Les Inconnus,C'est toi que je t'aime
Eddy Mitchell - On veut des légendes (avec Johnny Hallyday).mp4,Eddy Mitchell,On veut des légendes (avec Johnny Hallyday)
Danyel Gérard - Butterfly.mp4,Danyel Gérard,Butterfly
Salvatore Adamo - Et tu t'envas.mp4,Salvatore Adamo,Et tu t'envas
Daniel Guichard - Le gitan.mp4,Daniel Guichard,Le gitan
The Pointer sisters - I'm so excited.mp4,The Pointer sisters,I'm so excited
Showtunes - La Cage Aux Folles - Best Of Times.mp4,La Cage Aux Folles,Best Of Times
Bobby Vinton - I love how you love me.mp4,Bobby Vinton,I love how you love me
Whitney Houston - I wanna dance with somebody.mp4,Whitney Houston,I wanna dance with somebody
TV Theme - MASH Suicide is painless.mp4,TV Theme,MASH Suicide is painless
Michèle Torr - Je m'appelle Michèle.mp4,Michèle Torr,Je m'appelle Michèle
Juliette Gréco - Si tu t'imagines.mp4,Juliette Gréco,Si tu t'imagines
Grease - 06 Beauty School Dropout.mp4,Grease,06 Beauty School Dropout
Julio Iglesias - Je n'ai pas changé.mp4,Julio Iglesias,Je n'ai pas changé
Nini Ferrer - Je veus être noir.mp4,Nini Ferrer,Je veus être noir
Jacques Brel - Les remparts de Varsovie.mp4,Jacques Brel,Les remparts de Varsovie
Johnny Hallyday - Cet homme que voilà.mp4,Johnny Hallyday,Cet homme que voilà
Harry Belafonte - Banana boat song.mp4,Harry Belafonte,Banana boat song
OFKCAR001-07 - Carpenters - Rainy Days & Mondays w~mpex.mkv,Carpenters,Rainy Days & Mondays w~mpex
Nini Ferrer - Mirza.mp4,Nini Ferrer,Mirza
Ben L'Oncle Soul - Barbie Girl.mp4,Ben L'Oncle Soul,Barbie Girl
Traditional - Old time religion wvocals.mp4,Traditional,Old time religion wvocals
Nicoletta - Il est mort le soleil.mp4,Nicoletta,Il est mort le soleil
"Séverine - Un banc, un arbre, une rue.mp4",Séverine,"Un banc, un arbre, une rue"
Kenny Rogers - You Decorated My Life.mp4,Kenny Rogers,You Decorated My Life
Patriotic - Star spangled banner.mp4,Patriotic,Star spangled banner
Showtunes - Cabaret - Cabaret.mp4,Cabaret,Cabaret
John McDermott - The band played waltzing matilda.mp4,John McDermott,The band played waltzing matilda
Connie Francies - Stupid cupid.mp4,Connie Francies,Stupid cupid
Claude Nougaro - Vie violence.mp4,Claude Nougaro,Vie violence
Tropical Family - Les sunlights des tropiques.mp4,Tropical Family,Les sunlights des tropiques
Crystal Gale - (with Eddie Rabbit) You and I.mp4,Crystal Gale,(with Eddie Rabbit) You and I
Santana - Maria Maria.mp4,Santana,Maria Maria
Gilbert Montagné - Les sunlights des tropiques.mp4,Gilbert Montagné,Les sunlights des tropiques
Petula Clark - La nuit n'en finit plus.mp4,Petula Clark,La nuit n'en finit plus
Grégoire - Toi + Moi.mp4,Grégoire,Toi + Moi
DEK0536-02 - Everly Bros - All I Have to Do is Dream.mkv,Everly Bros,All I Have to Do is Dream
Jim Croce - Bad Bad Leroy Brown.mp4,Jim Croce,Bad Bad Leroy Brown
Jefferson Starship - Count On Me.mp4,Jefferson Starship,Count On Me
Sylvie Vartan - Signé Sagan.mp4,Sylvie Vartan,Signé Sagan
Kool and the gang - Celebration.mp4,Kool and the gang,Celebration
Richard Anthony - C'est ma fête.mp4,Richard Anthony,C'est ma fête
Mitch Miller - Five foot two (vocals).mp4,Mitch Miller,Five foot two (vocals)
Glen Campbell - Southern Nights.mp4,Glen Campbell,Southern Nights
Traditional - I Want A Girl Just Like The Girl that married dear old dad.mp4,Traditional,I Want A Girl Just Like The Girl that married dear old dad
Stormy weather (SC).mp4,Stormy weather (SC).mp4,
Stromae - Ta fête.mp4,Stromae,Ta fête
Bénabar - L'effet papillon.mp4,Bénabar,L'effet papillon
Gilbert Bécaud - La solitute ça n'existe pas.mp4,Gilbert Bécaud,La solitute ça n'existe pas
Les Chaussettes Noires - Be Bop A Lula.mp4,Les Chaussettes Noires,Be Bop A Lula
Roméo et Juliette - Vérone.mp4,Roméo et Juliette,Vérone
Bézu - La queuleuleu.mp4,Bézu,La queuleuleu
Roch Voisine - Let It Be Me (Je t'appartiens).mp4,Roch Voisine,Let It Be Me (Je t'appartiens)
Dean Martin - Arrivederci Roma.mp4,Dean Martin,Arrivederci Roma
Julien Clerc - Ce n'est rien.mp4,Julien Clerc,Ce n'est rien
M Pokora - Belinda.mp4,M Pokora,Belinda
Pierre Bachelet - Flo.mp4,Pierre Bachelet,Flo
Elvis Presley - Surrender.mp4,Elvis Presley,Surrender
The Little Mermaid - Partir là-bas .mp4,The Little Mermaid,Partir là-bas 
Jimmy Buffet - Margaritaville wvocals.mp4,Jimmy Buffet,Margaritaville wvocals
Francis Cabrel - Bonne nouvelle.mp4,Francis Cabrel,Bonne nouvelle
Sheila - L'amour en hiver.mp4,Sheila,L'amour en hiver
Frédéric François - Une nuit ne suffit pas.mp4,Frédéric François,Une nuit ne suffit pas
Jean-Jacques Goldman   - Tourne les violons.mp4,Jean-Jacques Goldman  ,Tourne les violons
Mel Torme - A foggy day in london town.mp4,Mel Torme,A foggy day in london town
Serge Reggiani - L'italien.mp4,Serge Reggiani,L'italien
John Raitt and Bonnie Raitt - If I loved you duet  wvocals.mp4,John Raitt and Bonnie Raitt,If I loved you duet  wvocals
Les Sunlights - Les roses blanches.mp4,Les Sunlights,Les roses blanches
Grace Jones - La vie en rose (Album Version).mp4,Grace Jones,La vie en rose (Album Version)
Vince Gill - I Still Believe In You.mp4,Vince Gill,I Still Believe In You
Joe Dassin - Les Dalton.mp4,Joe Dassin,Les Dalton
Tony Orlando & Dawn - Who's In The Strawberry Patch With Sally.mp4,Tony Orlando & Dawn,Who's In The Strawberry Patch With Sally
Liane Foly - Jardin d'hiver.mp4,Liane Foly,Jardin d'hiver
Lio - Fallait pas commencer.mp4,Lio,Fallait pas commencer
Enrico Macias - Adieu mon pays.mp4,Enrico Macias,Adieu mon pays
Alizée - J'en ai marre.mp4,Alizée,J'en ai marre
Fiddler On The Roof - Tradition.mp4,Fiddler On The Roof,Tradition
Gospel - Will The Circle Be Unbroken.mp4,Gospel,Will The Circle Be Unbroken
Michel Sardou - Bonsoir Clara.mp4,Michel Sardou,Bonsoir Clara
Gérard Palaprat - Fais-moi un signe.mp4,Gérard Palaprat,Fais-moi un signe
Dolly Parton - Two doors down.mp4,Dolly Parton,Two doors down
Santiana - Je t'avais juré de t'aimer.mp4,Santiana,Je t'avais juré de t'aimer
Billy Ray Cyrus - Achy Breaky Heart.mp4,Billy Ray Cyrus,Achy Breaky Heart
"Alibert - Adieu, Venise provençale.mp4",Alibert,"Adieu, Venise provençale"
Traditional - We'll meet again.mp4,Traditional,We'll meet again
Claude François - Le mal aimé.mp4,Claude François,Le mal aimé
Rod Stewart - Tonight's the night.mp4,Rod Stewart,Tonight's the night
Gospel - He's Got The Whole World In His hands.mp4,Gospel,He's Got The Whole World In His hands
Phil Collins - Against all odds.mp4,Phil Collins,Against all odds
Michèle Torr - Emmène-moi danser ce soir.mp4,Michèle Torr,Emmène-moi danser ce soir
Liane Foly - Vivre ou survivre.mp4,Liane Foly,Vivre ou survivre
Eddy Mitchell - Comme quand j'étais mome.mp4,Eddy Mitchell,Comme quand j'étais mome
Francais - (Amazing grace - Gospel) Aimer quand meme.mp4,(Amazing grace,Gospel) Aimer quand meme
Eric Clapton - Layla (got me on my knees).mp4,Eric Clapton,Layla (got me on my knees)
Stromae - Alors on danse.mp4,Stromae,Alors on danse
Michéle Torr - Discomotion.mp4,Michéle Torr,Discomotion
Sammy Davis Jr - Candy Man.mp4,Sammy Davis Jr,Candy Man
Charles Aznavour - Les plaisirs démodés (Dansons joue contre joue).mp4,Charles Aznavour,Les plaisirs démodés (Dansons joue contre joue)
Edith Piaf - Mon Dieu.mp4,Edith Piaf,Mon Dieu
Jean-Jacques Goldman   - Entre gris clair et gris foncé (live).mp4,Jean-Jacques Goldman  ,Entre gris clair et gris foncé (live)
René Joly - Chimène.mp4,René Joly,Chimène
Perry Como - Hot diggity (what you do to me).mp4,Perry Como,Hot diggity (what you do to me)
Serge Reggiani - Le souffleur.mp4,Serge Reggiani,Le souffleur
Sheila - Le folklore américain.mp4,Sheila,Le folklore américain
Daniel Balavoine - L'Aziza.mp4,Daniel Balavoine,L'Aziza
Jean-Pierre Mader - Macumba.mp4,Jean-Pierre Mader,Macumba
Les Forbans - Chante.mp4,Les Forbans,Chante
Italian - Mamma.mp4,Italian,Mamma
Frédéric François - De Venise à Capri.mp4,Frédéric François,De Venise à Capri
Serge Lama - Le mémorial.mp4,Serge Lama,Le mémorial
Irish - Where The Three Counties Meet.mp4,Irish,Where The Three Counties Meet
Hugues Aufray - Céline.mp4,Hugues Aufray,Céline
The Righteous Brothers - Unchained Melody.mp4,The Righteous Brothers,Unchained Melody
Jimmy Wakely - One has my name the other has my heart.mp4,Jimmy Wakely,One has my name the other has my heart
The Spinners - One Of A Kind (Love Affair).mp4,The Spinners,One Of A Kind (Love Affair)
Indochine - Partenaire particulier.mp4,Indochine,Partenaire particulier
England Dan & Jphn Ford Coley - It's sad to belong to someone else when the right one comes along.mp4,England Dan & Jphn Ford Coley,It's sad to belong to someone else when the right one comes along
Elegance - Vacances j'oublie tout.mp4,Elegance,Vacances j'oublie tout
OFKCAR002-08 - Carpenters - Goodbye to Love w~mpex.mkv,Carpenters,Goodbye to Love w~mpex
Eddy Mitchell - Derrière l'arc-en-ciel.mp4,Eddy Mitchell,Derrière l'arc-en-ciel
Les Charlots - Ah ! Viens !.mp4,Les Charlots,Ah ! Viens !
Michel Jonasz - Joueur de blues.mp4,Michel Jonasz,Joueur de blues
Henri Salvador - Le lion est mort ce soir.mp4,Henri Salvador,Le lion est mort ce soir
Patrick Topaloff - La chemise grise (avec Sim).mp4,Patrick Topaloff,La chemise grise (avec Sim)
Johnny Hallyday - L'envie.mp4,Johnny Hallyday,L'envie
Etienne Daho - Week-end à Rome.mp4,Etienne Daho,Week-end à Rome
Michel Sardou - Non merci.mp4,Michel Sardou,Non merci
We Love Disney - Il en faut peu pour être heureux .mp4,We Love Disney,Il en faut peu pour être heureux 
Patriotic - God bless the USA wvocals.mp4,Patriotic,God bless the USA wvocals
Irish - It's a great day for the Irish.mp4,Irish,It's a great day for the Irish
Ray Ventura - À la mi-août.mp4,Ray Ventura,À la mi-août
Sylvie Vartan - Solitude.mp4,Sylvie Vartan,Solitude
Julio Iglesias - Abrazame.mp4,Julio Iglesias,Abrazame
Jenifer - Donne moi le temps.mp4,Jenifer,Donne moi le temps
Claude François - J'y pense et puis j'oublie.mp4,Claude François,J'y pense et puis j'oublie
Jean-Patrick Capdevielle - Quand t'es dans le désert.mp4,Jean-Patrick Capdevielle,Quand t'es dans le désert
Fréro Delavéga - Ton visage.mp4,Fréro Delavéga,Ton visage
Johnny Hallyday - Derrière lamour.mp4,Johnny Hallyday,Derrière lamour
Bee Gees - You Should Be Dancing (LG).mp4,Bee Gees,You Should Be Dancing (LG)
Tavares - Heaven must be missing an angel.mp4,Tavares,Heaven must be missing an angel
Lucienne Delyle - Mon amant de Saint-Jean.mp4,Lucienne Delyle,Mon amant de Saint-Jean
John Denver - Annies Song.mp4,John Denver,Annies Song
Jean-Jacques Goldman   - On ira.mp4,Jean-Jacques Goldman  ,On ira
Sacha Distel - Mon beau chapeau.mp4,Sacha Distel,Mon beau chapeau
Nana Mouskouri - Je chante avec toi liberté.mp4,Nana Mouskouri,Je chante avec toi liberté
Tarantella - Italian w original vocal.mp4,Tarantella,Italian w original vocal
Bee Gees - Night fever wvocals.mp4,Bee Gees,Night fever wvocals
Irish - (paddy oke) Do You Want Your Old Lobby Washed Down.mp4,Irish,(paddy oke) Do You Want Your Old Lobby Washed Down
Jeanne Mas - En rouge et noir.mp4,Jeanne Mas,En rouge et noir
Salvatore Adamo - Tombe la neige.mp4,Salvatore Adamo,Tombe la neige
Andy Williams - Softly as I leave you.mp4,Andy Williams,Softly as I leave you
Christian Delagrange - Sans toi je suis seul.mp4,Christian Delagrange,Sans toi je suis seul
Barbara Streisand - Evergreen.mp4,Barbara Streisand,Evergreen
Irish - (paddy oke) Any Tipperary Town.mp4,Irish,(paddy oke) Any Tipperary Town
Fatal Bazooka - Fous ta cagoule.mp4,Fatal Bazooka,Fous ta cagoule
Showtunes - (Carousel) If I loved you.mp4,Showtunes,(Carousel) If I loved you
Michel Sardou - Je vole.mp4,Michel Sardou,Je vole
Whitney Houston - I will always love you wvocal.mp4,Whitney Houston,I will always love you wvocal
Niagara - J'ai vu.mp4,Niagara,J'ai vu
Elton John - Little Jeannie.mp4,Elton John,Little Jeannie
Barbara Streisand - How do you keep the music playing (PS).mp4,Barbara Streisand,How do you keep the music playing (PS)
Elvis Presley - Always on my mind.mp4,Elvis Presley,Always on my mind
Jerry Vale - You belong to my heart wvocal.mp4,Jerry Vale,You belong to my heart wvocal
Bee Gees - How deep is your love.mp4,Bee Gees,How deep is your love
Salvatore Adamo - Je vous offre.mp4,Salvatore Adamo,Je vous offre
Amy Grant - (with Peter Cetera) Next Time I Fall.mp4,Amy Grant,(with Peter Cetera) Next Time I Fall
France Gall - Viens je t'emmene..mp4,France Gall,Viens je t'emmene
Richard Anthony - Sur le toit.mp4,Richard Anthony,Sur le toit
Etienne Daho - Le premier jour (du reste de ta vie).mp4,Etienne Daho,Le premier jour (du reste de ta vie)
Gilbert Bécaud - Et bonjour à toi l'artiste.mp4,Gilbert Bécaud,Et bonjour à toi l'artiste
Lionel Richie - Sail On.mp4,Lionel Richie,Sail On
Christophe Willem - Double jeu.mp4,Christophe Willem,Double jeu
Rod Stewart - Makin' whoopee wvocals.mp4,Rod Stewart,Makin' whoopee wvocals
Johnny Hallyday - J'ai oublié de vivre.mp4,Johnny Hallyday,J'ai oublié de vivre
Sanseverino - La maison sur le port.mp4,Sanseverino,La maison sur le port
Alain Souchon - L'amour à la machine.mp4,Alain Souchon,L'amour à la machine
Yoann Fréget - Ça vient de là-haut.mp4,Yoann Fréget,Ça vient de là-haut
Martha and the Vandellas - Heat Wave.mp4,Martha and the Vandellas,Heat Wave
Serge Reggiani - Je voudrais pas crever.mp4,Serge Reggiani,Je voudrais pas crever
Véronique Sanson - Je serais là.mp4,Véronique Sanson,Je serais là
Petula Clark - Coeur blessé.mp4,Petula Clark,Coeur blessé
Serge Gainsbourg - L'ami Caouette.mp4,Serge Gainsbourg,L'ami Caouette
Ronettes - Be My Baby.mp4,Ronettes,Be My Baby
Rosie & The Originals - Angel Baby.mp4,Rosie & The Originals,Angel Baby
Traditional - Happy birthday to you.mp4,Traditional,Happy birthday to you
A Taste of Honey - Boogie oogie oogie.mp4,A Taste of Honey,Boogie oogie oogie
Jean-Luc Lahaye - Femme que j'aime.mp4,Jean-Luc Lahaye,Femme que j'aime
Serge Gainsbourg - Je t'aime moi non plus (avec Jane Birkin).mp4,Serge Gainsbourg,Je t'aime moi non plus (avec Jane Birkin)
Mort Shuman - La derniere danse.mp4,Mort Shuman,La derniere danse
Rita Mitsouko - Marcia Baila.mp4,Rita Mitsouko,Marcia Baila
Mireille Mathieu - La Paloma.mp4,Mireille Mathieu,La Paloma
Mitch Miller - I'm looking over a four leaf clover.mp4,Mitch Miller,I'm looking over a four leaf clover
Collectif Métissé - Je te donne.mp4,Collectif Métissé,Je te donne
Sam Cooke - You Send Me.mp4,Sam Cooke,You Send Me
Jean Knight - Mr. Big Stuff.mp4,Jean Knight,Mr
Hélène Ségara - Parlez-moi de nous.mp4,Hélène Ségara,Parlez-moi de nous
Tino Rossi - Tango bleu.mp4,Tino Rossi,Tango bleu
Slimane - Adieu.mp4,Slimane,Adieu
Enrique Iglesias - Bailamos wvocals.mp4,Enrique Iglesias,Bailamos wvocals
Jean-Jacques Goldman   - Il y a.mp4,Jean-Jacques Goldman  ,Il y a
Bing Crosby - Let me call you sweetheart.mp4,Bing Crosby,Let me call you sweetheart
Disney - L'amour brille sous les étoiles.mp4,Disney,L'amour brille sous les étoiles
Karaoké La danse de Zorba - Dalida _.mp4,Karaoké La danse de Zorba,Dalida _
Vera Lynn - As time goes by.mp4,Vera Lynn,As time goes by
Sheila - Un bateau s'en va.mp4,Sheila,Un bateau s'en va
Mireille Mathieu - Paris en colère.mp4,Mireille Mathieu,Paris en colère
Bee Gees - Don't throw it all away.mp4,Bee Gees,Don't throw it all away
Koxie - Garçon.mp4,Koxie,Garçon
Raphaël - Somnambule.mp4,Raphaël,Somnambule
Grease - 03 Hopelessly Devoted To You.mp4,Grease,03 Hopelessly Devoted To You
Irish - Did your mother come from Ireland.mp4,Irish,Did your mother come from Ireland
Bee Gees - Jive talkin wvocals.mp4,Bee Gees,Jive talkin wvocals
Hall & Oates - Maneater wvocals.mp4,Hall & Oates,Maneater wvocals
Pierre Bachelet - C'est pour elle.mp4,Pierre Bachelet,C'est pour elle
Englebert Humperdink - After the lovin'.mp4,Englebert Humperdink,After the lovin'
Richard Anthony - Le sirop typhon.mp4,Richard Anthony,Le sirop typhon
Edith Piaf - A quoi ça sert l'amour (avec Théo Sarapo).mp4,Edith Piaf,A quoi ça sert l'amour (avec Théo Sarapo)
Amaury Vassili - Laisse-moi t'aimer.mp4,Amaury Vassili,Laisse-moi t'aimer
Italian - Torna a surriento.mp4,Italian,Torna a surriento
Dalida - Itsi Bitsi Petit Bikini.mp4,Dalida,Itsi Bitsi Petit Bikini
Nancy Sinatra - These boots are made for walking wvocal.mp4,Nancy Sinatra,These boots are made for walking wvocal
"Kenny Rogers - Ruby, don't take your love to town.mp4",Kenny Rogers,"Ruby, don't take your love to town"
Fernandel - Le tango corse.mp4,Fernandel,Le tango corse
Serge Reggiani - La honte de pleurer.mp4,Serge Reggiani,La honte de pleurer
Tino Rossi - Vieni vieni.mp4,Tino Rossi,Vieni vieni
Traditional - When I'm Sixty-Four.mp4,Traditional,When I'm Sixty-Four
Doris Day - Tea For Two.mp4,Doris Day,Tea For Two
"Gloria Lasso - Amour, castagnette et tango.mp4",Gloria Lasso,"Amour, castagnette et tango"
Johnny Hallyday - La paix.mp4,Johnny Hallyday,La paix
