Fichier,Chanteur,Chanson
Lorie - Toute seule.mp4,Lorie,Toute seule
Soprano - En feu.mp4,Soprano,En feu
Stevie Wonder - Isn't She Lovely.mp4,Stevie Wonder,Isn't She Lovely
Billy Joel - Just the way you are.mp4,Billy Joel,Just the way you are
Christine And The Queens - Christine.mp4,Christine And The Queens,Christine
French - (Gilbert Becaud & Martine St Clair) L'amour est Mort (Courte Version).mp4,French,(Gilbert Becaud & Martine St Clair) L'amour est Mort (Courte Version)
Lonestar - Amazed.mp4,Lonestar,Amazed
Natasha St-Pier - Tu trouveras.mp4,Natasha St-Pier,Tu trouveras
Johnny Hallyday - Toute la musique que j'aime.mp4,Johnny Hallyday,Toute la musique que j'aime
Salvatore Adamo - A vot' bon coeur.mp4,Salvatore Adamo,A vot' bon coeur
Faith Hill - There you'll be wvocal.mp4,Faith Hill,There you'll be wvocal
Jeane Manson - La chapelle de Harlem.mp4,Jeane Manson,La chapelle de Harlem
Yvonne Elliman - If I can't have you.mp4,Yvonne Elliman,If I can't have you
Jean-Jacques Goldman   - Un deux trois (avec Fredericks).mp4,Jean-Jacques Goldman  ,Un deux trois (avec Fredericks)
The Crew Cuts - Sh-Boom.mp4,The Crew Cuts,Sh-Boom
Traditional - I can't give you anything but love.mp4,Traditional,I can't give you anything but love
Olivia Ruiz - J'traine des pieds.mp4,Olivia Ruiz,J'traine des pieds
Charlotte Julian - Fleur de province.mp4,Charlotte Julian,Fleur de province
Sacha Distel - La porte d'en face.mp4,Sacha Distel,La porte d'en face
Englebert Humperdink - After the lovin' wvocal.mp4,Englebert Humperdink,After the lovin' wvocal
karaoke2.csv,karaoke2.csv,
Guy Béart - L'eau vive.mp4,Guy Béart,L'eau vive
C. Jérôme - La petite fille 73.mp4,C. Jérôme,La petite fille 73
Serge Lama - La chanteuse a vingt ans.mp4,Serge Lama,La chanteuse a vingt ans
Philippe Lavil - Il tape sur des bambous.mp4,Philippe Lavil,Il tape sur des bambous
Gospel - Battle hymn of the republic.mp4,Gospel,Battle hymn of the republic
Line Renaud - Bye bye.mp4,Line Renaud,Bye bye
Enrique Iglesias - (with Whitney Houston) Could I have this kiss forever wvocals.mp4,Enrique Iglesias,(with Whitney Houston) Could I have this kiss forever wvocals
Whitney Houston - Saving all my love for you.mp4,Whitney Houston,Saving all my love for you
Gipsy Kings - Bamboleo.mp4,Gipsy Kings,Bamboleo
Isabelle Boulay - Je m'en contenterai.mp4,Isabelle Boulay,Je m'en contenterai
Vera Lynn - Wish Me Luck As You Wave Me Goodbye.mp4,Vera Lynn,Wish Me Luck As You Wave Me Goodbye
Jonelle Mosser - Midnight Train To Georgia.mp4,Jonelle Mosser,Midnight Train To Georgia
Jacques Higelin - Tombé du ciel.mp4,Jacques Higelin,Tombé du ciel
Rika Zaraï - Le petit train ding ding dong.mp4,Rika Zaraï,Le petit train ding ding dong
Zaz - A Paris.mp4,Zaz,A Paris
Francis Cabrel - Madame n'aime pas.mp4,Francis Cabrel,Madame n'aime pas
Jeane Manson - Vis ta vie.mp4,Jeane Manson,Vis ta vie
"Pierre Perret - Fillette, le bonheur c'est toujours pour demain.mp4",Pierre Perret,"Fillette, le bonheur c'est toujours pour demain"
Michel Fugain - Fais comme l'oiseau.mp4,Michel Fugain,Fais comme l'oiseau
Fleetwood Mac - Gypsy.mp4,Fleetwood Mac,Gypsy
Claude François - Le téléphone pleure.mp4,Claude François,Le téléphone pleure
Jean-Jacques Goldman   - Sache que je.mp4,Jean-Jacques Goldman  ,Sache que je
Calogero - Face à la mer (avec Passi).mp4,Calogero,Face à la mer (avec Passi)
AVCD003-06 - Tom Jones - Help Yourself.mkv,Tom Jones,Help Yourself
Eric Morena - Oh mon bateau.mp4,Eric Morena,Oh mon bateau
Michel Sardou - Selon que vous serez.mp4,Michel Sardou,Selon que vous serez
Florent Pagny - N'importe quoi.mp4,Florent Pagny,N'importe quoi
François Feldman - Le mal de toi.mp4,François Feldman,Le mal de toi
Oldies  - Caroline.mp4,Oldies ,Caroline
Steve Winwood - Higher Love.mp4,Steve Winwood,Higher Love
Julien Clerc - Laissons entrer le soleil.mp4,Julien Clerc,Laissons entrer le soleil
Salvatore Adamo - Mes belles erreurs.mp4,Salvatore Adamo,Mes belles erreurs
Dave - Est-ce par hasard .mp4,Dave,Est-ce par hasard 
Serge Lama - La voisine.mp4,Serge Lama,La voisine
Sheila - Adios amor.mp4,Sheila,Adios amor
Pierre Perret - Le zizi.mp4,Pierre Perret,Le zizi
Crystal Gale - It's like we never said goodbye.mp4,Crystal Gale,It's like we never said goodbye
STAR200755-03 - Michael Learns to Rock - I'm Gonna be Around.mkv,Michael Learns to Rock,I'm Gonna be Around
The Contours - Do You Love Me.mp4,The Contours,Do You Love Me
Gospel - How great thou art wfemale vocals.mp4,Gospel,How great thou art wfemale vocals
Isabelle Boulay - Parle-moi.mp4,Isabelle Boulay,Parle-moi
Carlos - Tout nu et tout bronzé.mp4,Carlos,Tout nu et tout bronzé
PMV04-09 - INOJ - Time after Time.mp4,INOJ,Time after Time
Tammy Wynette - Stand by your man.mp4,Tammy Wynette,Stand by your man
Berthe Sylva - Frou-frou.mp4,Berthe Sylva,Frou-frou
Irish - Whiskey in the jar.mp4,Irish,Whiskey in the jar
Laurent Voulzy - Jeanne.mp4,Laurent Voulzy,Jeanne
Charles Aznavour - Il faut savoir.mp4,Charles Aznavour,Il faut savoir
Ray Charles - Georgia on my mind.mp4,Ray Charles,Georgia on my mind
Irish - Peg O' My Heart.mp4,Irish,Peg O' My Heart
PMV04-01 - Madonna - The Power of Goodbye.mp4,Madonna,The Power of Goodbye
Jean-François Michaël - Comme j'ai toujours envie d'aimer.mp4,Jean-François Michaël,Comme j'ai toujours envie d'aimer
Daniel Balavoine - La vie ne m'apprend rien.mp4,Daniel Balavoine,La vie ne m'apprend rien
Showtunes - Cabaret - Wilkommen.mp4,Cabaret,Wilkommen
"Eddie Constantine - Cigarettes, whisky et p'tites pépées.mp4",Eddie Constantine,"Cigarettes, whisky et p'tites pépées"
Barbara Mandrell - Happy birthday dear heartache wvocals.mp4,Barbara Mandrell,Happy birthday dear heartache wvocals
Spanish Ballades - Payasito.mp4,Spanish Ballades,Payasito
Niagara - Assez.mp4,Niagara,Assez
John Michael Montgomery - Be my baby tonight.mp4,John Michael Montgomery,Be my baby tonight
Marvin Gaye - What's goin' on.mp4,Marvin Gaye,What's goin' on
Yves Jamait - Célibataire.mp4,Yves Jamait,Célibataire
Cole Porter - It's de-lovely wvocals.mp4,Cole Porter,It's de-lovely wvocals
Johnny Hallyday - Ma gueule.mp4,Johnny Hallyday,Ma gueule
Beach Boys - Help Me Rhonda.mp4,Beach Boys,Help Me Rhonda
Dan Hill - Sometimes When We Touch.mp4,Dan Hill,Sometimes When We Touch
C. Jérôme - Jérôme c'est moi.mp4,C. Jérôme,Jérôme c'est moi
Raoul de Godewarsvelde - Quand la mer monte.mp4,Raoul de Godewarsvelde,Quand la mer monte
Yves Jamait - La radio qui chante (avec Zaz).mp4,Yves Jamait,La radio qui chante (avec Zaz)
Myriam Abel - Donne.mp4,Myriam Abel,Donne
Michel Sardou - Beethoven.mp4,Michel Sardou,Beethoven
Chris Kenner - I Like It Like That.mp4,Chris Kenner,I Like It Like That
"Sacha Distel - Là, près de la fenêtre.mp4",Sacha Distel,"Là, près de la fenêtre"
Marie Osmond - Paper Roses.mp4,Marie Osmond,Paper Roses
Bob Marley - No woman no cry.mp4,Bob Marley,No woman no cry
Renaud - Laisse béton.mp4,Renaud,Laisse béton
François Valéry - Emmanuelle.mp4,François Valéry,Emmanuelle
Catherine Lara - Nuit magique.mp4,Catherine Lara,Nuit magique
Starland Vocal Band - Afternoon Delight.mp4,Starland Vocal Band,Afternoon Delight
Richard Anthony - Nouvelle vague.mp4,Richard Anthony,Nouvelle vague
Dean Martin - Sway.mp4,Dean Martin,Sway
"Charles Trenet - Débit de l'eau, débit de lait.mp4",Charles Trenet,"Débit de l'eau, débit de lait"
La Bande à Basile - La chenille.mp4,La Bande à Basile,La chenille
Johnny Hallyday - Ce qui ne nous tue pas nous rend plus fort.mp4,Johnny Hallyday,Ce qui ne nous tue pas nous rend plus fort
Francis Cabrel - Encore et encore.mp4,Francis Cabrel,Encore et encore
Spanish - (Julio Iglesias) Por el amor de una mujer.mp4,Spanish,(Julio Iglesias) Por el amor de una mujer
Carlos - Papayou.mp4,Carlos,Papayou
The Royal Teens - Short Shorts.mp4,The Royal Teens,Short Shorts
Cookie Dingler - Femme libérée  .mp4,Cookie Dingler,Femme libérée  
Pierre Perret - Le plombier.mp4,Pierre Perret,Le plombier
Dean Martin - Innamorata.mp4,Dean Martin,Innamorata
Dean Martin - Little ole wine drinker me.mp4,Dean Martin,Little ole wine drinker me
Helen Reddy - You and me against the world.mp4,Helen Reddy,You and me against the world
Joyce Jonathan - Je ne sais pas.mp4,Joyce Jonathan,Je ne sais pas
Amel Bent - Ma philosophie.mp4,Amel Bent,Ma philosophie
Stylistics - You Are Everything.mp4,Stylistics,You Are Everything
Summertime - Do I Hear A Waltz (Film).mp4,Summertime,Do I Hear A Waltz (Film)
Irish - Too ra loo ra (Irish lullaby).mp4,Irish,Too ra loo ra (Irish lullaby)
Sheila - Dans un monde sans amour.mp4,Sheila,Dans un monde sans amour
Laurent Voulzy - Rock Collection.mp4,Laurent Voulzy,Rock Collection
Petula Clark - C'est ma chanson.mp4,Petula Clark,C'est ma chanson
Joe Dassin - La demoiselle de déshonneur.mp4,Joe Dassin,La demoiselle de déshonneur
Michel Sardou - Il est là.mp4,Michel Sardou,Il est là
Gershwin  - Do it again wvocals.mp4,Gershwin ,Do it again wvocals
Yves Jamait - Et je bois.mp4,Yves Jamait,Et je bois
Amy Grant - El Shaddai.mp4,Amy Grant,El Shaddai
Zorba the Greek - Greek favorites.mp4,Zorba the Greek,Greek favorites
Alain Souchon - La ballade de Jim.mp4,Alain Souchon,La ballade de Jim
Nancy Sinatra - These Boots Are Made For Walkin'.mp4,Nancy Sinatra,These Boots Are Made For Walkin'
Véronique Sanson - Celui qui n'essaye pas  ne se trompe jamais.mp4,Véronique Sanson,Celui qui n'essaye pas  ne se trompe jamais
Lynda Lemay - C'est mon père.mp4,Lynda Lemay,C'est mon père
Frédéric François - Je t'aime à l'italienne.mp4,Frédéric François,Je t'aime à l'italienne
Karaoké Le chanteur - Daniel Balavoine _.mp4,Karaoké Le chanteur,Daniel Balavoine _
Pays de Charleroi Karaoké.mp4,Pays de Charleroi Karaoké.mp4,
Natasha St-Pier - Je n'ai que mon âme.mp4,Natasha St-Pier,Je n'ai que mon âme
Jim Croce - I'll have to say I love you in a song.mp4,Jim Croce,I'll have to say I love you in a song
François Feldman - Joy.mp4,François Feldman,Joy
Johnny Hallyday - Vivre pour le meilleur.mp4,Johnny Hallyday,Vivre pour le meilleur
Sacha Distel - L'incendie à Rio.mp4,Sacha Distel,L'incendie à Rio
Salvatore Adamo - Mauvais garçon.mp4,Salvatore Adamo,Mauvais garçon
United Planet - Change le monde .mp4,United Planet,Change le monde 
Léo Ferré - Avec le temps.mp4,Léo Ferré,Avec le temps
Fiddler On The Roof - If I were a rich man wvocals.mp4,Fiddler On The Roof,If I were a rich man wvocals
Mike Brant - Rien qu'une larme.mp4,Mike Brant,Rien qu'une larme
Jean-Jacques Goldman   - Famille.mp4,Jean-Jacques Goldman  ,Famille
AVCD003-07 - Tom Jones - That Wonderful Sound.mkv,Tom Jones,That Wonderful Sound
Johnny Hallyday - Rock and Roll Attitude.mp4,Johnny Hallyday,Rock and Roll Attitude
"Showtunes - The King And I, The - I Whistle A Happy Tune.mp4","The King And I, The",I Whistle A Happy Tune
John Denver - Country roads.mp4,John Denver,Country roads
Folk - Michael row the boat ashore.mp4,Folk,Michael row the boat ashore
Lara Fabian - La différence.mp4,Lara Fabian,La différence
Santana - Black magic woman.mp4,Santana,Black magic woman
Salvatore Adamo - Le néon.mp4,Salvatore Adamo,Le néon
Salvatore Adamo - Sois heureuse Rose.mp4,Salvatore Adamo,Sois heureuse Rose
Spanish - New York New York Spanish version.mp4,Spanish,New York New York Spanish version
DEK0536-12 - Everly Bros - So Sad to Watch Good Love Go Bad.mkv,Everly Bros,So Sad to Watch Good Love Go Bad
Yves Montand - Mon pot' le gitan.mp4,Yves Montand,Mon pot' le gitan
Frédéric François - Viens te perdre dans mes bras.mp4,Frédéric François,Viens te perdre dans mes bras
Yves Montand - Maitre Pierre.mp4,Yves Montand,Maitre Pierre
Joe Dassin - Ça va pas changer le monde.mp4,Joe Dassin,Ça va pas changer le monde
Salvatore Adamo - C'est ma vie.mp4,Salvatore Adamo,C'est ma vie
PMV04-02 - Boyzone - No Matter What.mp4,Boyzone,No Matter What
Juliette Gréco - Déshabillez-moi.mp4,Juliette Gréco,Déshabillez-moi
La Compagnie Créole - Ba moin en tibo.mp4,La Compagnie Créole,Ba moin en tibo
Louis Armstrong - A kiss to build a dream on wvocals.mp4,Louis Armstrong,A kiss to build a dream on wvocals
Tino Rossi - Bohémienne aux grands yeux noirs.mp4,Tino Rossi,Bohémienne aux grands yeux noirs
Les Vagabons - Le temps des yéyés.mp4,Les Vagabons,Le temps des yéyés
Gospel - His hand in mine.mp4,Gospel,His hand in mine
Salvatore Adamo - Marie la mer.mp4,Salvatore Adamo,Marie la mer
Emmanuel Moire - Venir voir.mp4,Emmanuel Moire,Venir voir
Johnny Hallyday - Cadillac.mp4,Johnny Hallyday,Cadillac
PMV09-06 - Jagged Edge - Let's Get Married.mp4,Jagged Edge,Let's Get Married
Françoise Hardy - Mon amie la rose.mp4,Françoise Hardy,Mon amie la rose
The Chi-Lites - Oh Girl.mp4,The Chi-Lites,Oh Girl
Edith Piaf - Milord.mp4,Edith Piaf,Milord
Peter Paul & Mary - Blowing In The Wind.mp4,Peter Paul & Mary,Blowing In The Wind
Jean-Jacques Goldman   - Je te donne.mp4,Jean-Jacques Goldman  ,Je te donne
Vanessa Paradis - Divine idylle.mp4,Vanessa Paradis,Divine idylle
Jimmy Dorsey - All or nothing at all wvocals.mp4,Jimmy Dorsey,All or nothing at all wvocals
Patrick Sébastien - Il fait chaud.mp4,Patrick Sébastien,Il fait chaud
Bee Gees - Nights on Broadway.mp4,Bee Gees,Nights on Broadway
Barbara Mandrell - Years.mp4,Barbara Mandrell,Years
Gérard Lenorman - La ballade des gens heureux.mp4,Gérard Lenorman,La ballade des gens heureux
